Date Finished, Base Config, Name, Prune Rate, Subnet Init, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Val ECE, Best Train Top 1, Best Train Top 5
02-02-23_11:52:15, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.01, unsigned_constant, 19.06, 76.89, 20.29, 77.26, 0.11, 19.26, 75.61
02-02-23_11:52:30, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.01, signed_constant, 9.77, 51.26, 9.85, 51.33, 0.10, 9.79, 51.15
02-02-23_11:52:30, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.01, unsigned_constant, 1.76, 9.28, 2.37, 9.85, 0.01, 2.23, 9.31
02-02-23_11:52:31, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.01, signed_constant, 0.87, 4.98, 0.90, 5.01, 0.01, 0.91, 4.98
02-02-23_11:52:45, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.02, unsigned_constant, 22.51, 83.43, 26.97, 84.20, 0.13, 23.79, 83.00
02-02-23_11:53:18, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.01, kaiming_normal, 76.46, 98.58, 76.46, 98.58, 0.25, 80.41, 98.55
02-02-23_11:53:28, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.02, unsigned_constant, 3.21, 12.84, 3.21, 13.54, 0.02, 2.79, 13.66
02-02-23_11:54:23, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.01, kaiming_normal, 29.93, 61.41, 30.68, 62.38, 0.03, 41.62, 72.70
02-02-23_12:22:08, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.02, signed_constant, 10.00, 50.00, 10.00, 50.00, 0.10, 10.00, 50.00
02-02-23_12:22:13, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR100, 0.02, signed_constant, 1.03, 5.00, 1.04, 5.01, 0.01, 1.03, 5.03
02-02-23_12:23:47, configs/smallscale/resnet18/resnet18-ukn-unsigned.yaml, CIFAR10, 0.02, kaiming_normal, 86.02, 99.41, 86.02, 99.45, 0.33, 89.17, 99.65
